Category,QA Group,Question,Answer
General Queries,Components of total fare collected or Fare Breakup,"-What are the bus fare components in the booking amount?
","For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,-Are there any extra charges included to the bus booking amount?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,What is the ticket price breakup?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,- What is the bus fare breakup?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,"-What are the charges included to the bus booking amount other than the seat fare?
","For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,Why is my ticket so costly/expensive?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,Why is my ticket overpriced?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,Components of total fare collected or Fare Breakup,Why is my ticket highly priced?,"For Private bus operators, the fare includes Base fare(fare shown post seat selection), Service Charge and GST(for AC buses only).<br><br>For Govt. Buses, fare includes Base fare(fare shown post seat selection and passenger age entry), Concessions(Example: Senior Citizen), Discounts(Example: Group Discounts), Toll Charges, Reservation Fees, Levies(may vary based on the state govt), GST(for AC buses only) etc.<br><br>The components of the fare may vary based on distance being travelled, state taxes, bus route, state government rules etc."
General Queries,What is service charge,"Can you explain what is a Service Charge?

",Service charge is levied by bus operators for providing the convenience of online bus ticketing service to customers.
General Queries,What is service charge,What is Service Charge ?,Service charge is levied by bus operators for providing the convenience of online bus ticketing service to customers.
General Queries,What is service charge,What are group discounts?,Group discounts are applicable when a certain number of seats are booked. This discount is generally given by RTCs(government bus operators). Check the offers section. https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,How do I get group discount?,Group discounts are applicable when a certain number of seats are booked. This discount is generally given by RTCs(government bus operators). Check the offers section. https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,Are there group discounts?,Group discounts are applicable when a certain number of seats are booked. This discount is generally given by RTCs(government bus operators). Check the offers section. https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,Do groups get a discount?,Group discounts are applicable when a certain number of seats are booked. This discount is generally given by RTCs(government bus operators). Check the offers section. https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,What are round trip/return journey discounts?,Book a round trip on abhibus to avail round trip discounts. The round trip discount offer details can be found on the offers page of abhibus https://www.abhibus.com/bus-ticket-offers . Select the onward journey date and the return journey followed by corresponding onward/return bus services to book a round trip.
General Queries,What is service charge,Is there any discount on round trip/return journey?,Book a round trip on abhibus to avail round trip discounts. The round trip discount offer details can be found on the offers page of abhibus https://www.abhibus.com/bus-ticket-offers . Select the onward journey date and the return journey followed by corresponding onward/return bus services to book a round trip.
General Queries,What is service charge,Is there any discount on to and fro journeys?,Book a round trip on abhibus to avail round trip discounts. The round trip discount offer details can be found on the offers page of abhibus https://www.abhibus.com/bus-ticket-offers . Select the onward journey date and the return journey followed by corresponding onward/return bus services to book a round trip.
General Queries,What is service charge,Are there any discounts for women travellers? ,Some bus operators might provide discounts on seats booked by women travellers. Check our offers section-<br>https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,Do women/girls get discount?,Some bus operators might provide discounts on seats booked by women travellers. Check our offers section-<br>https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,Is there a discount for women/girls?,Some bus operators might provide discounts on seats booked by women travellers. Check our offers section-<br>https://www.abhibus.com/bus-ticket-offers
General Queries,What is service charge,What is Pick Express in UPSRTC?,Pink Express is an all-women bus service where bus crew includes women conductor and security personnel. This bus service has been introduced by Uttar Pradesh State Road Transport Corporation(UPSRTC) to provide safe and secure bus rides for women passengers. It operates daily from Anand Vihar Delhi to Lucknow at 19:00. This route information is subject to change at the discretion of the Operator.
General Queries,What is service charge,What is Pink Express?,Pink Express is an all-women bus service where bus crew includes women conductor and security personnel. This bus service has been introduced by Uttar Pradesh State Road Transport Corporation(UPSRTC) to provide safe and secure bus rides for women passengers. It operates daily from Anand Vihar Delhi to Lucknow at 19:00. This route information is subject to change at the discretion of the Operator.
General Queries,What is service charge,Are there any all women bus services?,Pink Express is an all-women bus service where bus crew includes women conductor and security personnel. This bus service has been introduced by Uttar Pradesh State Road Transport Corporation(UPSRTC) to provide safe and secure bus rides for women passengers. It operates daily from Anand Vihar Delhi to Lucknow at 19:00. This route information is subject to change at the discretion of the Operator.
General Queries,What is service charge,Are there women-only bus services?,Pink Express is an all-women bus service where bus crew includes women conductor and security personnel. This bus service has been introduced by Uttar Pradesh State Road Transport Corporation(UPSRTC) to provide safe and secure bus rides for women passengers. It operates daily from Anand Vihar Delhi to Lucknow at 19:00. This route information is subject to change at the discretion of the Operator.
General Queries,What is service charge,Are there buses for only women?,Pink Express is an all-women bus service where bus crew includes women conductor and security personnel. This bus service has been introduced by Uttar Pradesh State Road Transport Corporation(UPSRTC) to provide safe and secure bus rides for women passengers. It operates daily from Anand Vihar Delhi to Lucknow at 19:00. This route information is subject to change at the discretion of the Operator.
General Queries,Unable to see a specific bus service in the search page listing,"I am unable to see my preferred bus service. I was able to see it before. What seems to be wrong?

","This might happen when bus operators stop a bus service temporarily. In some cases, Abhibus might block a few bus services due to operational challenges. Sometimes when all seats are sold-out, the respective bus service is moved to the bottom of the bus search result page. However, please share details of any bus service you feel is missing on our portal by sending an email on support@abhibus.com. Mention details such as origin city, destination city, date of journey, bus operator name while sending the missing bus service information to us. We will have this checked and enabled."
General Queries,Unable to see a specific bus service in the search page listing,How to find my preferred bus service?,"This might happen when bus operators stop a bus service temporarily. In some cases, Abhibus might block a few bus services due to operational challenges. Sometimes when all seats are sold-out, the respective bus service is moved to the bottom of the bus search result page. However, please share details of any bus service you feel is missing on our portal by sending an email on support@abhibus.com. Mention details such as origin city, destination city, date of journey, bus operator name while sending the missing bus service information to us. We will have this checked and enabled."
General Queries,Unable to see a specific bus service in the search page listing,I can't find my preferred bus service.,"This might happen when bus operators stop a bus service temporarily. In some cases, Abhibus might block a few bus services due to operational challenges. Sometimes when all seats are sold-out, the respective bus service is moved to the bottom of the bus search result page. However, please share details of any bus service you feel is missing on our portal by sending an email on support@abhibus.com. Mention details such as origin city, destination city, date of journey, bus operator name while sending the missing bus service information to us. We will have this checked and enabled."
General Queries,Unable to see a specific bus service in the search page listing,I cannot find XYZ bus.,"This might happen when bus operators stop a bus service temporarily. In some cases, Abhibus might block a few bus services due to operational challenges. Sometimes when all seats are sold-out, the respective bus service is moved to the bottom of the bus search result page. However, please share details of any bus service you feel is missing on our portal by sending an email on support@abhibus.com. Mention details such as origin city, destination city, date of journey, bus operator name while sending the missing bus service information to us. We will have this checked and enabled."
General Queries,Unable to see a specific bus service in the search page listing,Why cant i find my bus service,"This might happen when bus operators stop a bus service temporarily. In some cases, Abhibus might block a few bus services due to operational challenges. Sometimes when all seats are sold-out, the respective bus service is moved to the bottom of the bus search result page. However, please share details of any bus service you feel is missing on our portal by sending an email on support@abhibus.com. Mention details such as origin city, destination city, date of journey, bus operator name while sending the missing bus service information to us. We will have this checked and enabled."
General Queries,No bus services on a particular route,"I am unable to find a bus service for my preferred route. Why?
","Even though there are buses plying on a route, reservation might not be enabled by bus operators owing to various operational challenges. However, please share details of any specific route/services where booking is not enabled on our portal. Mention details such as origin city, destination city, date of journey, bus operator name while sending us an email on support@abhibus.com. We will have this checked and enable booking if feasible.<br>"
General Queries,No bus services on a particular route,Why are there no buses on the route I selected ?,"Even though there are buses plying on a route, reservation might not be enabled by bus operators owing to various operational challenges. However, please share details of any specific route/services where booking is not enabled on our portal. Mention details such as origin city, destination city, date of journey, bus operator name while sending us an email on support@abhibus.com. We will have this checked and enable booking if feasible.<br>"
General Queries,No bus services on a particular route,No buses on my route.,"Even though there are buses plying on a route, reservation might not be enabled by bus operators owing to various operational challenges. However, please share details of any specific route/services where booking is not enabled on our portal. Mention details such as origin city, destination city, date of journey, bus operator name while sending us an email on support@abhibus.com. We will have this checked and enable booking if feasible.<br>"
General Queries,No bus services on a particular route,Why are there no bus services on the route I selected ?,"Even though there are buses plying on a route, reservation might not be enabled by bus operators owing to various operational challenges. However, please share details of any specific route/services where booking is not enabled on our portal. Mention details such as origin city, destination city, date of journey, bus operator name while sending us an email on support@abhibus.com. We will have this checked and enable booking if feasible.<br>"
General Queries,No bus services on a particular route,"No bus services on my route. Why I can't find a bus for XYZ from ABC? No bus for where I want to go, why?","Even though there are buses plying on a route, reservation might not be enabled by bus operators owing to various operational challenges. However, please share details of any specific route/services where booking is not enabled on our portal. Mention details such as origin city, destination city, date of journey, bus operator name while sending us an email on support@abhibus.com. We will have this checked and enable booking if feasible.<br>"
General Queries,Difference between Service Number and Vehicle or Bus Registration Number,"What is the difference between a 'Service Number' & a 'Vehicle' or 'Bus Registration Number'?
",A service number is an identification number assigned to a bus service running on a route at a specific time by a bus operator. These numbers are usually allotted by bus operators and are physically displayed (by most of the bus operators) on the buses for customers to easily identify the physical bus and to board the service. The vehicle Registration number is the number allotted during Vehicle Registration with the Road Transport Authorities.
General Queries,Difference between Service Number and Vehicle or Bus Registration Number,What is a Service Number ?,A service number is an identification number assigned to a bus service running on a route at a specific time by a bus operator. These numbers are usually allotted by bus operators and are physically displayed (by most of the bus operators) on the buses for customers to easily identify the physical bus and to board the service. The vehicle Registration number is the number allotted during Vehicle Registration with the Road Transport Authorities.
General Queries,Difference between Service Number and Vehicle or Bus Registration Number,What is a Bus Registration number ?,A service number is an identification number assigned to a bus service running on a route at a specific time by a bus operator. These numbers are usually allotted by bus operators and are physically displayed (by most of the bus operators) on the buses for customers to easily identify the physical bus and to board the service. The vehicle Registration number is the number allotted during Vehicle Registration with the Road Transport Authorities.
General Queries,Boarding Point and Landmark details at Origin City,What is the difference between a 'Boarding Point' & 'Landmark' details?,"Boarding point is usually the place in a city/town where the bus will pick up the customers. Landmark details are mentioned against boarding point to guide the customers to identify a specific location at the boarding point ex: shop address, major shopping mall, bus stop, metro pillar number etc."
General Queries,Boarding Point and Landmark details at Origin City,What is a Boarding Point?,"Boarding point is usually the place in a city/town where the bus will pick up the customers. Landmark details are mentioned against boarding point to guide the customers to identify a specific location at the boarding point ex: shop address, major shopping mall, bus stop, metro pillar number etc."
General Queries,Boarding Point and Landmark details at Origin City,What is a Landmark?,"Boarding point is usually the place in a city/town where the bus will pick up the customers. Landmark details are mentioned against boarding point to guide the customers to identify a specific location at the boarding point ex: shop address, major shopping mall, bus stop, metro pillar number etc."
General Queries,Dropping (alighting) point at my destination,"What does 'Dropping' (alighting) point refer to?
",Dropping (Alighting) point is the place where you can get off the bus in your destination city. You may choose the dropping point of your choice while booking the ticket.
General Queries,Dropping (alighting) point at my destination,What is a dropping point?,Dropping (Alighting) point is the place where you can get off the bus in your destination city. You may choose the dropping point of your choice while booking the ticket.
General Queries,"What is Bus Start Time, Bus Boarding Time and Bus Origin Start Time","What is the difference between a 'Bus Start Time', 'Bus Boarding Time' & 'Bus Origin Start Time'? Please explain.


","Bus Start time is the start time of the bus from source city or town. Bus Boarding Time is the time when customers will be picked from a specific location in the source city or town. Bus Origin Start time is the start time of the bus from the bus service origin. If the bus is scheduled to start from Origin City at 4 PM and scheduled to reach your en-route selected city at 8 PM and scheduled to reach your selected boarding point at 8:15 PM then the Bus Origin City Start Time is 4 PM, Bus Start Time in your selected city is 8 PM and Boarding Point Time is 8:15 PM."
General Queries,"What is Bus Start Time, Bus Boarding Time and Bus Origin Start Time",What is Bus start time?,"Bus Start time is the start time of the bus from source city or town. Bus Boarding Time is the time when customers will be picked from a specific location in the source city or town. Bus Origin Start time is the start time of the bus from the bus service origin. If the bus is scheduled to start from Origin City at 4 PM and scheduled to reach your en-route selected city at 8 PM and scheduled to reach your selected boarding point at 8:15 PM then the Bus Origin City Start Time is 4 PM, Bus Start Time in your selected city is 8 PM and Boarding Point Time is 8:15 PM."
General Queries,"What is Bus Start Time, Bus Boarding Time and Bus Origin Start Time",What is Bus Boarding Time?,"Bus Start time is the start time of the bus from source city or town. Bus Boarding Time is the time when customers will be picked from a specific location in the source city or town. Bus Origin Start time is the start time of the bus from the bus service origin. If the bus is scheduled to start from Origin City at 4 PM and scheduled to reach your en-route selected city at 8 PM and scheduled to reach your selected boarding point at 8:15 PM then the Bus Origin City Start Time is 4 PM, Bus Start Time in your selected city is 8 PM and Boarding Point Time is 8:15 PM."
General Queries,"What is Bus Start Time, Bus Boarding Time and Bus Origin Start Time",What is Bus origin start time?,"Bus Start time is the start time of the bus from source city or town. Bus Boarding Time is the time when customers will be picked from a specific location in the source city or town. Bus Origin Start time is the start time of the bus from the bus service origin. If the bus is scheduled to start from Origin City at 4 PM and scheduled to reach your en-route selected city at 8 PM and scheduled to reach your selected boarding point at 8:15 PM then the Bus Origin City Start Time is 4 PM, Bus Start Time in your selected city is 8 PM and Boarding Point Time is 8:15 PM."
General Queries,My preferred boarding/dropping  (alighting) point is not reflecting while booking ticket,"I was unable to find my preferred boarding / dropping point while booking my bus ticket. Why?

","If your desired boarding/dropping (alighting) point is not mentioned while booking ticket, you may select the nearest boarding point location according to your convenience. If you feel any specific boarding or dropping point is missing against a bus service, please share such information with us by sending an email to support@abhibus.com. Mention details such as the origin city, destination city, date of journey, bus operator name while sending the missing boarding or dropping point information to us. We will have this checked and rectified."
General Queries,My preferred boarding/dropping  (alighting) point is not reflecting while booking ticket,"I cannot find the boarding/dropping point, why?","If your desired boarding/dropping (alighting) point is not mentioned while booking ticket, you may select the nearest boarding point location according to your convenience. If you feel any specific boarding or dropping point is missing against a bus service, please share such information with us by sending an email to support@abhibus.com. Mention details such as the origin city, destination city, date of journey, bus operator name while sending the missing boarding or dropping point information to us. We will have this checked and rectified."
General Queries,My preferred boarding/dropping  (alighting) point is not reflecting while booking ticket,I could not find my preferred boarding / dropping point while booking my bus ticket.,"If your desired boarding/dropping (alighting) point is not mentioned while booking ticket, you may select the nearest boarding point location according to your convenience. If you feel any specific boarding or dropping point is missing against a bus service, please share such information with us by sending an email to support@abhibus.com. Mention details such as the origin city, destination city, date of journey, bus operator name while sending the missing boarding or dropping point information to us. We will have this checked and rectified."
General Queries,Do I need to carry Identity proof while travelling,"Is it mandatory to carry my identification proof while I travel?
",Yes. The passenger may be asked to show valid ID proof at the time of boarding the bus. It's always advisable to carry valid ID proof while traveling.
General Queries,Do I need to carry Identity proof while travelling,Is ID required?,Yes. The passenger may be asked to show valid ID proof at the time of boarding the bus. It's always advisable to carry valid ID proof while traveling.
General Queries,Do I need to carry Identity proof while travelling,Will I need ID to travel?,Yes. The passenger may be asked to show valid ID proof at the time of boarding the bus. It's always advisable to carry valid ID proof while traveling.
General Queries,Do I need to carry Identity proof while travelling,Is ID proof required while boarding a bus?,Yes. The passenger may be asked to show valid ID proof at the time of boarding the bus. It's always advisable to carry valid ID proof while traveling.
General Queries,Do I need to carry Identity proof while travelling,Is it okay if I don't carry ID?,Yes. The passenger may be asked to show valid ID proof at the time of boarding the bus. It's always advisable to carry valid ID proof while traveling.
General Queries,How many days in advance can tickets be booked on Abhibus ?,How many days in advance can I book tickets in Abhibus app / website?,You can book a bus ticket 90 days before your journey date.
General Queries,How many days in advance can tickets be booked on Abhibus ?,How many days before can I book my ticket?,You can book a bus ticket 90 days before your journey date.
General Queries,How many days in advance can tickets be booked on Abhibus ?,How early can I book a ticket?,You can book a bus ticket 90 days before your journey date.
General Queries,Travel Insurance Benefits,What are the benefits of choosing insurance while I book my tickets? ,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,Can you tell me about insurance?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,Can you tell me what is covered by insurance?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,What does insurance cover?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,What is covered by insurance?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,What do I get with insurance?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,Travel Insurance Benefits,Why should I take insurance?,"Travel Insurance will cover the following:<br>1. Personal Accident<br>2. Hospitalisation Expenses<br>3. Daily Allowance<br>For more specific details, please visit.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG"
General Queries,How to buy travel insurance,How can I opt for insurance while I book my ticket?,You can opt for insurance by selecting any one of the following insurance options on the passenger details page for mobile apps or on the payment details page for the website.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG<br><br>After you select your preferred insurance option and have made the payment for your bus booking the insurance details will be emailed to you by the insurance partner you selected.
General Queries,How to buy travel insurance,How can I get/buy insurance?,You can opt for insurance by selecting any one of the following insurance options on the passenger details page for mobile apps or on the payment details page for the website.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG<br><br>After you select your preferred insurance option and have made the payment for your bus booking the insurance details will be emailed to you by the insurance partner you selected.
General Queries,How to buy travel insurance,Can you help me get insurance?,You can opt for insurance by selecting any one of the following insurance options on the passenger details page for mobile apps or on the payment details page for the website.<br>1. ACKO General Insurance - https://www.abhibus.com/insterms/ACKO<br>2. TATA AIG Insurance- https://www.abhibus.com/insterms/TATA_AIG<br><br>After you select your preferred insurance option and have made the payment for your bus booking the insurance details will be emailed to you by the insurance partner you selected.
Lost/Forgot my luggage in the bus,How to make insurance claim,How can I claim my insurance benefits?,"Insurance can be claimed in the following way from respective insurance partners-<br><br>ACKO - Customer can file a claim for any of the mentioned coverages, on the Acko Website. Alternatively, for registration of claim's customers can reach out to Acko on 1860 266 2257.<br><br>TATA AIG - To register your domestic insurance claim in India and for any further assistance, contact the TATA AIG GENERAL INSURANCE 24hr Help Line number +1800 266 7780, +1800 119 966 (Toll-free and accessible only in India)"
Lost/Forgot my luggage in the bus,How to make insurance claim,Can you help me claim my insurance benefits?,"Insurance can be claimed in the following way from respective insurance partners-<br><br>ACKO - Customer can file a claim for any of the mentioned coverages, on the Acko Website. Alternatively, for registration of claim's customers can reach out to Acko on 1860 266 2257.<br><br>TATA AIG - To register your domestic insurance claim in India and for any further assistance, contact the TATA AIG GENERAL INSURANCE 24hr Help Line number +1800 266 7780, +1800 119 966 (Toll-free and accessible only in India)"
Lost/Forgot my luggage in the bus,How to make insurance claim,How do I get my insurance benefits?,"Insurance can be claimed in the following way from respective insurance partners-<br><br>ACKO - Customer can file a claim for any of the mentioned coverages, on the Acko Website. Alternatively, for registration of claim's customers can reach out to Acko on 1860 266 2257.<br><br>TATA AIG - To register your domestic insurance claim in India and for any further assistance, contact the TATA AIG GENERAL INSURANCE 24hr Help Line number +1800 266 7780, +1800 119 966 (Toll-free and accessible only in India)"
Lost/Forgot my luggage in the bus,Lost/Forgot my luggage in the bus,I missed / forgot my baggage / luggage in the bus. How can I get it back?,"Please call on the bus operator helpline number to report the loss of your luggage. In case the operator helpline number is not reachable, please send an email at support@abhibus.com with the journey details and your contact details. We will try our best to help you get back your luggage."
Lost/Forgot my luggage in the bus,Lost/Forgot my luggage in the bus,"I forgot my bags, please help me get it back","Please call on the bus operator helpline number to report the loss of your luggage. In case the operator helpline number is not reachable, please send an email at support@abhibus.com with the journey details and your contact details. We will try our best to help you get back your luggage."
Lost/Forgot my luggage in the bus,Lost/Forgot my luggage in the bus,"I lost my luggage, please help","Please call on the bus operator helpline number to report the loss of your luggage. In case the operator helpline number is not reachable, please send an email at support@abhibus.com with the journey details and your contact details. We will try our best to help you get back your luggage."
Lost/Forgot my luggage in the bus,Lost/Forgot my luggage in the bus,"I misplaced my luggage, please help","Please call on the bus operator helpline number to report the loss of your luggage. In case the operator helpline number is not reachable, please send an email at support@abhibus.com with the journey details and your contact details. We will try our best to help you get back your luggage."
General Queries,Types of buses available for booking,"What are the various type of buses available for booking with Abhibus?
 ","We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,"
What kind of bus seats can I book through Abhibus?","We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,"
What are the types of buses available for booking on Abhibus?
","We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,What are the bus types available for booking on Abhibus?,"We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option on the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,What/which bus can I take on Abhibus?,"We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,Do you have/Is there AC bus?,"We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
General Queries,Types of buses available for booking,Do you have/Is there Non-AC bus?,"We partner with all major private and government bus operators. You can book AC, Non-AC, Seater, Sleeper buses from your preferred bus operator, at your preferred time and price on different routes. Bus Type details are mentioned in the bus service search listing page. You can also filter your preferred bus type through the filter option in the bus service listing page.<br><br>Abhibus has also classified bus operators as ""Ultimate"" and ""Assured"", basis certain performance factors. ""Ultimate"" operators are the best performing operators and ""Assured"" operators are the next best operators. Operators are marked as ""Ultimate"" or ""Assured"" in the bus service listing page."
